areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,England,E92000001,2021-12-05,95,148365
nation,England,E92000001,2021-12-04,129,148270
nation,England,E92000001,2021-12-03,123,148141
nation,England,E92000001,2021-12-02,94,148018
nation,England,E92000001,2021-12-01,107,147924
nation,England,E92000001,2021-11-30,109,147817
nation,England,E92000001,2021-11-29,117,147708
nation,England,E92000001,2021-11-28,104,147591
nation,England,E92000001,2021-11-27,97,147487
nation,England,E92000001,2021-11-26,102,147390
nation,England,E92000001,2021-11-25,112,147288
nation,England,E92000001,2021-11-24,105,147176
nation,England,E92000001,2021-11-23,119,147071
nation,England,E92000001,2021-11-22,100,146952
nation,England,E92000001,2021-11-21,98,146852
nation,England,E92000001,2021-11-20,105,146754
nation,England,E92000001,2021-11-19,107,146649
nation,England,E92000001,2021-11-18,106,146542
nation,England,E92000001,2021-11-17,95,146436
nation,England,E92000001,2021-11-16,134,146341
nation,England,E92000001,2021-11-15,136,146207
nation,England,E92000001,2021-11-14,108,146071
nation,England,E92000001,2021-11-13,117,145963
nation,England,E92000001,2021-11-12,107,145846
nation,England,E92000001,2021-11-11,128,145739
nation,England,E92000001,2021-11-10,129,145611
nation,England,E92000001,2021-11-09,131,145482
nation,England,E92000001,2021-11-08,128,145351
nation,England,E92000001,2021-11-07,123,145223
nation,England,E92000001,2021-11-06,135,145100
nation,England,E92000001,2021-11-05,131,144965
nation,England,E92000001,2021-11-04,131,144834
nation,England,E92000001,2021-11-03,135,144703
nation,England,E92000001,2021-11-02,132,144568
nation,England,E92000001,2021-11-01,146,144436
nation,England,E92000001,2021-10-31,151,144290
nation,England,E92000001,2021-10-30,124,144139
nation,England,E92000001,2021-10-29,132,144015
nation,England,E92000001,2021-10-28,157,143883
nation,England,E92000001,2021-10-27,140,143726
nation,England,E92000001,2021-10-26,132,143586
nation,England,E92000001,2021-10-25,123,143454
nation,England,E92000001,2021-10-24,120,143331
nation,England,E92000001,2021-10-23,131,143211
nation,England,E92000001,2021-10-22,115,143080
nation,England,E92000001,2021-10-21,115,142965
nation,England,E92000001,2021-10-20,116,142850
nation,England,E92000001,2021-10-19,109,142734
nation,England,E92000001,2021-10-18,97,142625
nation,England,E92000001,2021-10-17,109,142528
nation,England,E92000001,2021-10-16,105,142419
nation,England,E92000001,2021-10-15,108,142314
nation,England,E92000001,2021-10-14,114,142206
nation,England,E92000001,2021-10-13,99,142092
nation,England,E92000001,2021-10-12,96,141993
nation,England,E92000001,2021-10-11,97,141897
nation,England,E92000001,2021-10-10,82,141800
nation,England,E92000001,2021-10-09,94,141718
nation,England,E92000001,2021-10-08,95,141624
nation,England,E92000001,2021-10-07,95,141529
nation,England,E92000001,2021-10-06,79,141434
nation,England,E92000001,2021-10-05,96,141355
nation,England,E92000001,2021-10-04,84,141259
nation,England,E92000001,2021-10-03,78,141175
nation,England,E92000001,2021-10-02,73,141097
nation,England,E92000001,2021-10-01,102,141024
nation,England,E92000001,2021-09-30,95,140922
nation,England,E92000001,2021-09-29,93,140827
nation,England,E92000001,2021-09-28,88,140734
nation,England,E92000001,2021-09-27,84,140646
nation,England,E92000001,2021-09-26,76,140562
nation,England,E92000001,2021-09-25,89,140486
nation,England,E92000001,2021-09-24,100,140397
nation,England,E92000001,2021-09-23,109,140297
nation,England,E92000001,2021-09-22,114,140188
nation,England,E92000001,2021-09-21,99,140074
nation,England,E92000001,2021-09-20,116,139975
nation,England,E92000001,2021-09-19,102,139859
nation,England,E92000001,2021-09-18,102,139757
nation,England,E92000001,2021-09-17,130,139655
nation,England,E92000001,2021-09-16,118,139525
nation,England,E92000001,2021-09-15,122,139407
nation,England,E92000001,2021-09-14,126,139285
nation,England,E92000001,2021-09-13,78,139159
nation,England,E92000001,2021-09-12,102,139081
nation,England,E92000001,2021-09-11,109,138979
nation,England,E92000001,2021-09-10,111,138870
nation,England,E92000001,2021-09-09,137,138759
nation,England,E92000001,2021-09-08,116,138622
nation,England,E92000001,2021-09-07,129,138506
nation,England,E92000001,2021-09-06,129,138377
nation,England,E92000001,2021-09-05,122,138248
nation,England,E92000001,2021-09-04,119,138126
nation,England,E92000001,2021-09-03,124,138007
nation,England,E92000001,2021-09-02,105,137883
nation,England,E92000001,2021-09-01,102,137778
nation,England,E92000001,2021-08-31,102,137676
nation,England,E92000001,2021-08-30,93,137574
nation,England,E92000001,2021-08-29,114,137481
nation,England,E92000001,2021-08-28,105,137367
nation,England,E92000001,2021-08-27,114,137262
nation,England,E92000001,2021-08-26,108,137148
nation,England,E92000001,2021-08-25,86,137040
nation,England,E92000001,2021-08-24,104,136954
nation,England,E92000001,2021-08-23,97,136850
nation,England,E92000001,2021-08-22,110,136753
nation,England,E92000001,2021-08-21,97,136643
nation,England,E92000001,2021-08-20,108,136546
nation,England,E92000001,2021-08-19,99,136438
nation,England,E92000001,2021-08-18,89,136339
nation,England,E92000001,2021-08-17,89,136250
nation,England,E92000001,2021-08-16,78,136161
nation,England,E92000001,2021-08-15,75,136083
nation,England,E92000001,2021-08-14,86,136008
nation,England,E92000001,2021-08-13,81,135922
nation,England,E92000001,2021-08-12,91,135841
nation,England,E92000001,2021-08-11,78,135750
nation,England,E92000001,2021-08-10,73,135672
nation,England,E92000001,2021-08-09,74,135599
nation,England,E92000001,2021-08-08,67,135525
nation,England,E92000001,2021-08-07,90,135458
nation,England,E92000001,2021-08-06,85,135368
nation,England,E92000001,2021-08-05,89,135283
nation,England,E92000001,2021-08-04,79,135194
nation,England,E92000001,2021-08-03,70,135115
nation,England,E92000001,2021-08-02,76,135045
nation,England,E92000001,2021-08-01,74,134969
nation,England,E92000001,2021-07-31,73,134895
nation,England,E92000001,2021-07-30,90,134822
nation,England,E92000001,2021-07-29,73,134732
nation,England,E92000001,2021-07-28,70,134659
nation,England,E92000001,2021-07-27,61,134589
nation,England,E92000001,2021-07-26,70,134528
nation,England,E92000001,2021-07-25,62,134458
nation,England,E92000001,2021-07-24,60,134396
nation,England,E92000001,2021-07-23,68,134336
nation,England,E92000001,2021-07-22,74,134268
nation,England,E92000001,2021-07-21,48,134194
nation,England,E92000001,2021-07-20,54,134146
nation,England,E92000001,2021-07-19,76,134092
nation,England,E92000001,2021-07-18,60,134016
nation,England,E92000001,2021-07-17,49,133956
nation,England,E92000001,2021-07-16,44,133907
nation,England,E92000001,2021-07-15,45,133863
nation,England,E92000001,2021-07-14,38,133818
nation,England,E92000001,2021-07-13,40,133780
nation,England,E92000001,2021-07-12,34,133740
nation,England,E92000001,2021-07-11,28,133706
nation,England,E92000001,2021-07-10,34,133678
nation,England,E92000001,2021-07-09,43,133644
nation,England,E92000001,2021-07-08,30,133601
nation,England,E92000001,2021-07-07,28,133571
nation,England,E92000001,2021-07-06,22,133543
nation,England,E92000001,2021-07-05,21,133521
nation,England,E92000001,2021-07-04,24,133500
nation,England,E92000001,2021-07-03,27,133476
nation,England,E92000001,2021-07-02,26,133449
nation,England,E92000001,2021-07-01,25,133423
nation,England,E92000001,2021-06-30,23,133398
nation,England,E92000001,2021-06-29,21,133375
nation,England,E92000001,2021-06-28,13,133354
nation,England,E92000001,2021-06-27,20,133341
nation,England,E92000001,2021-06-26,10,133321
nation,England,E92000001,2021-06-25,21,133311
nation,England,E92000001,2021-06-24,23,133290
nation,England,E92000001,2021-06-23,6,133267
nation,England,E92000001,2021-06-22,13,133261
nation,England,E92000001,2021-06-21,12,133248
nation,England,E92000001,2021-06-20,20,133236
nation,England,E92000001,2021-06-19,17,133216
nation,England,E92000001,2021-06-18,14,133199
nation,England,E92000001,2021-06-17,7,133185
nation,England,E92000001,2021-06-16,15,133178
nation,England,E92000001,2021-06-15,15,133163
nation,England,E92000001,2021-06-14,12,133148
nation,England,E92000001,2021-06-13,9,133136
nation,England,E92000001,2021-06-12,11,133127
nation,England,E92000001,2021-06-11,11,133116
nation,England,E92000001,2021-06-10,16,133105
nation,England,E92000001,2021-06-09,14,133089
nation,England,E92000001,2021-06-08,13,133075
nation,England,E92000001,2021-06-07,5,133062
nation,England,E92000001,2021-06-06,12,133057
nation,England,E92000001,2021-06-05,5,133045
nation,England,E92000001,2021-06-04,13,133040
nation,England,E92000001,2021-06-03,14,133027
nation,England,E92000001,2021-06-02,10,133013
nation,England,E92000001,2021-06-01,9,133003
nation,England,E92000001,2021-05-31,10,132994
nation,England,E92000001,2021-05-30,8,132984
nation,England,E92000001,2021-05-29,9,132976
nation,England,E92000001,2021-05-28,12,132967
nation,England,E92000001,2021-05-27,8,132955
nation,England,E92000001,2021-05-26,12,132947
nation,England,E92000001,2021-05-25,8,132935
nation,England,E92000001,2021-05-24,13,132927
nation,England,E92000001,2021-05-23,14,132914
nation,England,E92000001,2021-05-22,3,132900
nation,England,E92000001,2021-05-21,16,132897
nation,England,E92000001,2021-05-20,6,132881
nation,England,E92000001,2021-05-19,3,132875
nation,England,E92000001,2021-05-18,9,132872
nation,England,E92000001,2021-05-17,11,132863
nation,England,E92000001,2021-05-16,10,132852
nation,England,E92000001,2021-05-15,13,132842
nation,England,E92000001,2021-05-14,9,132829
nation,England,E92000001,2021-05-13,10,132820
nation,England,E92000001,2021-05-12,13,132810
nation,England,E92000001,2021-05-11,19,132797
nation,England,E92000001,2021-05-10,7,132778
nation,England,E92000001,2021-05-09,11,132771
nation,England,E92000001,2021-05-08,17,132760
nation,England,E92000001,2021-05-07,16,132743
nation,England,E92000001,2021-05-06,14,132727
nation,England,E92000001,2021-05-05,20,132713
nation,England,E92000001,2021-05-04,14,132693
nation,England,E92000001,2021-05-03,17,132679
nation,England,E92000001,2021-05-02,16,132662
nation,England,E92000001,2021-05-01,14,132646
nation,England,E92000001,2021-04-30,16,132632
nation,England,E92000001,2021-04-29,15,132616
nation,England,E92000001,2021-04-28,19,132601
