,date,totalAdmissions,totalBeds,newHospAdmission,mecVent,dailyCases,cumulativeCases,Vax_index,totalAdmissions_ewma_3,totalAdmissions_ewma_7,totalAdmissions_ewma_14,totalBeds_ewma_3,totalBeds_ewma_7,totalBeds_ewma_14,newHospAdmission_ewma_3,newHospAdmission_ewma_7,newHospAdmission_ewma_14,dailyCases_ewma_3,dailyCases_ewma_7,dailyCases_ewma_14,cumulativeCases_ewma_3,cumulativeCases_ewma_7,cumulativeCases_ewma_14
47,2020-09-17,199,984,181,108,3979,342724,0.32999999999999996,189.32266621502788,170.41938508840468,143.2689798033302,927.5362346462813,823.8756761461933,720.327740792895,170.72973743190667,152.4951747189529,127.17999098821369,3634.8370344740997,3214.444298851247,2849.6834453516794,339089.16296552616,333080.74566265877,324282.2673751566
48,2020-09-18,205,1020,179,115,4290,347014,0.32999999999999996,197.16133310751394,179.06454534422548,151.50720561245544,973.7681173231407,872.9067941328236,760.320077420632,174.86486871595335,159.1213860426373,134.09555684651178,3962.4185172370503,3483.333427175417,3041.898849795202,343051.58148276305,336564.0618772306,327315.898534977
49,2020-09-19,204,1081,185,123,4215,351229,0.32999999999999996,200.58066655375697,185.29841253854312,158.51171480172707,1027.3840586615704,924.9301250615567,803.1108164302335,179.9324343579767,165.5910431958849,140.88812035934257,4088.7092586185254,3666.2501739712775,3198.434577839894,347140.2907413815,340230.2984841921,330506.8038946559
50,2020-09-20,237,1174,221,142,4652,355881,0.32999999999999996,218.7903332768785,198.22381489385882,168.98390701586408,1100.6920293307853,987.1976202437409,852.5961990026177,200.46621717898833,179.44328828053347,151.57693844363973,4370.354629309262,3912.687735150654,3392.3745582870492,351510.6453706908,344142.9755250194,333892.3213412801
51,2020-09-21,275,1299,259,154,4727,360608,0.32999999999999996,246.89516663843926,217.41786728477337,183.12768218451959,1199.8460146653927,1065.148240014438,912.1516383516702,229.73310858949418,199.33247254621773,165.90841952179224,4548.677314654631,4116.265866214011,3570.4290559639276,356059.32268534537,348259.2329550228,337456.50241785997
52,2020-09-22,268,1378,247,179,5400,366008,0.32999999999999996,257.44758331921963,230.06340348481294,194.44974677312828,1288.9230073326964,1143.36119869723,974.2963443622547,238.3665542947471,211.24935725680902,176.72612941116637,4974.338657327316,4437.199476336988,3814.4959193533937,361033.6613426727,352696.4257763876,341265.3049585104
53,2020-09-23,314,1439,290,192,5933,371941,0.32999999999999996,285.7237916596098,251.04755637371204,210.396806302224,1363.961503666348,1217.2709122666352,1036.2841416258893,264.18327714737353,230.93702147039426,191.8359690695,5453.669328663657,4811.149674260021,4097.087630996125,366487.3306713363,357507.5701943887,345357.2003892518
54,2020-09-24,288,1546,259,209,6361,378302,0.32999999999999996,286.8618958298049,260.2856685218012,220.74785108992955,1454.980751833174,1299.4531952445177,1104.2722156680713,261.59163857368674,237.95276704564725,200.79459382651655,5907.334664331829,5198.612307766422,4399.057913537103,372394.66533566813,362706.1783444365,349751.51820071856
55,2020-09-25,274,1686,247,227,6105,384407,0.32999999999999996,280.43094791490245,263.7142517369284,227.8504879845187,1570.490375916587,1396.0899061737007,1181.8615957808088,254.29581928684337,240.2145755122101,206.95735400303965,6006.167332165915,5425.209253664223,4626.592153024899,378400.83266783407,368131.38430515066,354373.7786853239
56,2020-09-26,245,1689,215,223,5704,390111,0.32999999999999996,262.7154739574512,259.0356884490212,230.1377455572045,1629.7451879582936,1469.3174351658972,1249.499447773508,234.64790964342168,233.91093115763476,208.03001443468185,5855.083666082957,5494.906945516951,4770.2877435839955,384255.91633391706,373626.28864424926,359140.10847971996
57,2020-09-27,241,1793,223,233,6084,396195,0.32999999999999996,251.8577369787256,254.52676608112756,231.58640622052022,1711.3725939791468,1550.238080962309,1321.984204473634,228.82395482171086,231.1831982135742,210.0265087474499,5969.541833041479,5642.180217487536,4945.492925787022,390225.45816695853,379268.4668030765,364081.98900844064
58,2020-09-28,308,1955,280,245,8641,404836,0.32999999999999996,279.9288684893628,267.89507512929407,241.77708060290902,1833.1862969895733,1651.428565024562,1406.4044958387333,254.41197741085543,243.3873991791287,219.35831778147494,7305.27091652074,6391.885194994669,5438.333366976061,397530.72908347927,385660.3503741036,369517.02792298
59,2020-09-29,310,1954,287,259,8832,413668,0.32999999999999996,294.9644342446814,278.42130668266856,250.875168395618,1893.5931484947866,1727.0714261807905,1479.4308631619174,270.7059887054277,254.29054973206502,228.3788928126998,8068.63545826037,7001.913915700771,5890.906743185985,405599.36454173963,392662.26300387963,375404.92342261615
