,date,covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions,areaName,dailyCases,cumulativeCases,population
149,2020-08-29,56.0,113662,478.0,52,England,1051,292937,"56,536,419"
150,2020-08-30,52.0,113700,479.0,38,England,987,293924,"56,536,419"
151,2020-08-31,54.0,113752,495.0,52,England,1279,295203,"56,536,419"
152,2020-09-01,59.0,113810,496.0,58,England,1962,297165,"56,536,419"
153,2020-09-02,59.0,113889,451.0,79,England,2696,299861,"56,536,419"
154,2020-09-03,58.0,113958,468.0,69,England,2716,302577,"56,536,419"
155,2020-09-04,54.0,114025,474.0,67,England,2637,305214,"56,536,419"
156,2020-09-05,50.0,114119,471.0,94,England,2200,307414,"56,536,419"
157,2020-09-06,52.0,114204,483.0,85,England,2079,309493,"56,536,419"
158,2020-09-07,62.0,114288,555.0,84,England,3530,313023,"56,536,419"
159,2020-09-08,64.0,114387,535.0,99,England,3071,316094,"56,536,419"
160,2020-09-09,64.0,114523,557.0,136,England,2893,318987,"56,536,419"
161,2020-09-10,62.0,114666,572.0,143,England,3143,322130,"56,536,419"
162,2020-09-11,129.0,114801,622.0,135,England,2893,325023,"56,536,419"
163,2020-09-12,70.0,114944,663.0,143,England,2224,327247,"56,536,419"
164,2020-09-13,74.0,115097,691.0,153,England,1722,328969,"56,536,419"
165,2020-09-14,88.0,115269,812.0,172,England,2941,331910,"56,536,419"
166,2020-09-15,101.0,115463,891.0,194,England,3057,334967,"56,536,419"
167,2020-09-16,107.0,115646,929.0,183,England,3778,338745,"56,536,419"
168,2020-09-17,108.0,115845,984.0,199,England,3979,342724,"56,536,419"
169,2020-09-18,115.0,116050,1020.0,205,England,4290,347014,"56,536,419"
170,2020-09-19,123.0,116254,1081.0,204,England,4215,351229,"56,536,419"
171,2020-09-20,142.0,116491,1174.0,237,England,4652,355881,"56,536,419"
172,2020-09-21,154.0,116766,1299.0,275,England,4727,360608,"56,536,419"
173,2020-09-22,179.0,117034,1378.0,268,England,5400,366008,"56,536,419"
174,2020-09-23,192.0,117348,1439.0,314,England,5933,371941,"56,536,419"
175,2020-09-24,209.0,117636,1546.0,288,England,6361,378302,"56,536,419"
176,2020-09-25,227.0,117910,1686.0,274,England,6105,384407,"56,536,419"
177,2020-09-26,223.0,118155,1689.0,245,England,5704,390111,"56,536,419"
178,2020-09-27,233.0,118396,1793.0,241,England,6084,396195,"56,536,419"
179,2020-09-28,245.0,118704,1955.0,308,England,8641,404836,"56,536,419"
180,2020-09-29,259.0,119014,1954.0,310,England,8832,413668,"56,536,419"
181,2020-09-30,282.0,119342,2036.0,328,England,10663,424331,"56,536,419"
182,2020-10-01,285.0,119710,2069.0,368,England,11444,435775,"56,536,419"
183,2020-10-02,311.0,120081,2180.0,371,England,11719,447494,"56,536,419"
184,2020-10-03,307.0,120467,2290.0,386,England,9820,457314,"56,536,419"
185,2020-10-04,310.0,120945,2435.0,478,England,9966,467280,"56,536,419"
186,2020-10-05,331.0,121417,2705.0,472,England,14218,481498,"56,536,419"
187,2020-10-06,349.0,121941,2903.0,524,England,14458,495956,"56,536,419"
188,2020-10-07,376.0,122432,3066.0,491,England,15418,511374,"56,536,419"
189,2020-10-08,368.0,122945,3179.0,513,England,15452,526826,"56,536,419"
190,2020-10-09,367.0,123489,3238.0,544,England,13159,539985,"56,536,419"
191,2020-10-10,396.0,124004,3369.0,515,England,10301,550286,"56,536,419"
192,2020-10-11,401.0,124632,3604.0,628,England,9781,560067,"56,536,419"
193,2020-10-12,426.0,125296,3827.0,664,England,16420,576487,"56,536,419"
194,2020-10-13,441.0,126060,4105.0,764,England,15660,592147,"56,536,419"
195,2020-10-14,468.0,126766,4313.0,706,England,16646,608793,"56,536,419"
196,2020-10-15,482.0,127558,4569.0,792,England,15428,624221,"56,536,419"
197,2020-10-16,482.0,128190,4854.0,632,England,14761,638982,"56,536,419"
198,2020-10-17,495.0,128975,5029.0,785,England,12487,651469,"56,536,419"
199,2020-10-18,504.0,129845,5202.0,870,England,11982,663451,"56,536,419"
200,2020-10-19,529.0,130706,5644.0,861,England,22369,685820,"56,536,419"
201,2020-10-20,560.0,131631,6072.0,925,England,21638,707458,"56,536,419"
202,2020-10-21,572.0,132628,6271.0,997,England,21762,729220,"56,536,419"
203,2020-10-22,564.0,133615,6345.0,987,England,19866,749086,"56,536,419"
204,2020-10-23,602.0,134612,6842.0,997,England,18359,767445,"56,536,419"
205,2020-10-24,632.0,135602,7176.0,990,England,13713,781158,"56,536,419"
206,2020-10-25,663.0,136788,7612.0,1186,England,13353,794511,"56,536,419"
207,2020-10-26,682.0,138067,7856.0,1279,England,23033,817544,"56,536,419"
208,2020-10-27,743.0,139257,8595.0,1190,England,20762,838306,"56,536,419"
209,2020-10-28,788.0,140496,9070.0,1239,England,20547,858853,"56,536,419"
210,2020-10-29,803.0,141841,9127.0,1345,England,20257,879110,"56,536,419"
211,2020-10-30,801.0,142950,9295.0,1109,England,19899,899009,"56,536,419"
212,2020-10-31,816.0,144190,9782.0,1240,England,14565,913574,"56,536,419"
213,2020-11-01,804.0,145470,9623.0,1280,England,13611,927185,"56,536,419"
214,2020-11-02,883.0,146801,10397.0,1331,England,28394,955579,"56,536,419"
215,2020-11-03,954.0,148047,10971.0,1246,England,22690,978269,"56,536,419"
216,2020-11-04,997.0,149429,11037.0,1382,England,21053,999322,"56,536,419"
217,2020-11-05,986.0,150775,10994.0,1346,England,21206,1020528,"56,536,419"
218,2020-11-06,984.0,151957,11181.0,1182,England,21179,1041707,"56,536,419"
219,2020-11-07,1003.0,153276,11514.0,1319,England,16888,1058595,"56,536,419"
220,2020-11-08,1017.0,154764,11680.0,1488,England,18272,1076867,"56,536,419"
221,2020-11-09,1048.0,156315,12259.0,1551,England,28560,1105427,"56,536,419"
222,2020-11-10,1010.0,157907,12033.0,1592,England,24836,1130263,"56,536,419"
223,2020-11-11,1081.0,159618,12730.0,1711,England,25065,1155328,"56,536,419"
224,2020-11-12,1088.0,161284,12967.0,1666,England,22320,1177648,"56,536,419"
225,2020-11-13,1158.0,162717,13328.0,1433,England,22008,1199656,"56,536,419"
226,2020-11-14,1162.0,164105,13399.0,1388,England,16290,1215946,"56,536,419"
227,2020-11-15,1194.0,165572,13886.0,1467,England,14422,1230368,"56,536,419"
228,2020-11-16,1198.0,167132,14313.0,1560,England,24136,1254504,"56,536,419"
229,2020-11-17,1228.0,168623,14411.0,1491,England,20677,1275181,"56,536,419"
230,2020-11-18,1242.0,170194,14490.0,1571,England,18545,1293726,"56,536,419"
231,2020-11-19,1241.0,171678,14479.0,1484,England,15797,1309523,"56,536,419"
232,2020-11-20,1241.0,172994,14236.0,1316,England,14960,1324483,"56,536,419"
233,2020-11-21,1248.0,174249,14118.0,1255,England,10806,1335289,"56,536,419"
234,2020-11-22,1259.0,175582,14354.0,1333,England,10216,1345505,"56,536,419"
235,2020-11-23,1299.0,176967,14712.0,1385,England,16472,1361977,"56,536,419"
236,2020-11-24,1306.0,178244,14506.0,1277,England,14266,1376243,"56,536,419"
237,2020-11-25,1300.0,179659,14240.0,1415,England,14155,1390398,"56,536,419"
238,2020-11-26,1264.0,180857,13908.0,1198,England,12459,1402857,"56,536,419"
239,2020-11-27,1242.0,181912,13754.0,1055,England,12459,1415316,"56,536,419"
240,2020-11-28,1204.0,182977,13208.0,1065,England,9347,1424663,"56,536,419"
241,2020-11-29,1214.0,184192,13521.0,1215,England,9068,1433731,"56,536,419"
242,2020-11-30,1185.0,185408,13756.0,1216,England,15228,1448959,"56,536,419"
243,2020-12-01,1182.0,186679,13507.0,1271,England,13731,1462690,"56,536,419"
244,2020-12-02,1149.0,187941,13212.0,1262,England,13662,1476352,"56,536,419"
245,2020-12-03,1094.0,189278,12896.0,1337,England,12762,1489114,"56,536,419"
246,2020-12-04,1113.0,190526,12987.0,1248,England,13065,1502179,"56,536,419"
247,2020-12-05,1086.0,191712,12968.0,1186,England,10302,1512481,"56,536,419"
248,2020-12-06,1087.0,193023,13189.0,1311,England,11036,1523517,"56,536,419"
249,2020-12-07,1109.0,194489,13616.0,1466,England,17662,1541179,"56,536,419"
250,2020-12-08,1118.0,196017,13629.0,1528,England,16937,1558116,"56,536,419"
251,2020-12-09,1094.0,197567,13467.0,1550,England,17744,1575860,"56,536,419"
252,2020-12-10,1110.0,199091,13796.0,1524,England,18850,1594710,"56,536,419"
253,2020-12-11,1117.0,200541,13901.0,1450,England,20177,1614887,"56,536,419"
254,2020-12-12,1087.0,202128,13927.0,1587,England,16268,1631155,"56,536,419"
255,2020-12-13,1123.0,203709,14460.0,1581,England,18409,1649564,"56,536,419"
256,2020-12-14,1127.0,205455,15053.0,1746,England,30019,1679583,"56,536,419"
257,2020-12-15,1159.0,207185,15031.0,1730,England,29652,1709235,"56,536,419"
258,2020-12-16,1163.0,208981,15465.0,1796,England,30650,1739885,"56,536,419"
259,2020-12-17,1188.0,210854,15741.0,1873,England,30159,1770044,"56,536,419"
