,date,covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions,dailyCases,cumulativeCases
685,2022-02-16,284.2857142857143,494625,8136.571428571428,907.7142857142857,37117.57142857143,15801567
686,2022-02-17,277.7142857142857,495370,7983.714285714285,873.1428571428571,36094.28571428572,15835735
687,2022-02-18,266.14285714285717,496109,7916.285714285715,860.1428571428571,34662.71428571428,15860658
688,2022-02-19,258.14285714285717,496814,7767.714285714285,839.2857142857143,34275.142857142855,15887087
689,2022-02-20,258.7142857142857,497535,7683.285714285715,817.0,33715.857142857145,15915498
690,2022-02-21,256.57142857142856,498291,7561.0,794.2857142857143,32365.0,15948532
691,2022-02-22,252.42857142857142,499083,7442.857142857143,771.7142857142857,30632.714285714286,15976551
692,2022-02-23,243.71428571428572,499823,7317.857142857143,742.5714285714286,28713.14285714286,16002559
693,2022-02-24,240.85714285714286,500617,7269.857142857143,749.5714285714286,26958.0,16024441
694,2022-02-25,233.28571428571428,501298,7143.428571428572,741.2857142857143,26188.0,16043974
695,2022-02-26,223.0,501993,7114.142857142857,739.8571428571429,24927.285714285714,16061578
696,2022-02-27,212.42857142857142,502750,7038.0,745.0,24035.0,16083743
697,2022-02-28,206.28571428571428,503683,6985.857142857143,770.2857142857143,23868.0,16115608
698,2022-03-01,199.85714285714286,504595,7010.428571428572,787.4285714285714,24417.285714285714,16147472
699,2022-03-02,195.57142857142858,505502,6938.142857142857,811.2857142857143,25467.714285714286,16180833
700,2022-03-03,186.0,506523,6866.285714285715,843.7142857142857,26846.428571428572,16212366
701,2022-03-04,179.85714285714286,507366,6841.571428571428,866.8571428571429,28428.14285714286,16242971
702,2022-03-05,178.28571428571428,508245,6831.428571428572,893.1428571428571,29986.0,16271480
703,2022-03-06,173.28571428571428,509303,6836.0,936.1428571428571,31950.14285714286,16307394
704,2022-03-07,167.42857142857142,510408,6864.428571428572,960.7142857142857,34681.142857142855,16358376
705,2022-03-08,166.42857142857142,511573,6853.714285714285,996.8571428571429,37606.71428571428,16410719
706,2022-03-09,167.57142857142858,512805,6964.0,1043.2857142857142,40768.142857142855,16466210
707,2022-03-10,165.85714285714286,513929,7105.142857142857,1058.0,44020.28571428572,16520508
708,2022-03-11,169.0,515087,7274.428571428572,1103.0,47115.28571428572,16572778
709,2022-03-12,168.57142857142858,516183,7416.428571428572,1134.0,50065.57142857143,16621939
710,2022-03-13,166.57142857142858,517517,7572.142857142857,1173.4285714285713,53545.142857142855,16682210
711,2022-03-14,166.28571428571428,518891,7783.571428571428,1211.857142857143,57621.57142857143,16761727
712,2022-03-15,165.0,520349,8000.571428571428,1253.7142857142858,60729.857142857145,16835828
713,2022-03-16,160.57142857142858,521887,8222.57142857143,1297.4285714285713,63367.0,16909779
714,2022-03-17,165.57142857142858,523313,8490.42857142857,1340.5714285714287,65279.71428571428,16977466
715,2022-03-18,163.71428571428572,524699,8726.857142857143,1373.142857142857,66656.0,17039370
716,2022-03-19,166.0,526164,8909.42857142857,1425.857142857143,67520.28571428571,17094581
717,2022-03-20,168.57142857142858,527598,9136.857142857143,1440.142857142857,68468.28571428571,17161488
718,2022-03-21,174.28571428571428,529206,9468.0,1473.5714285714287,69952.57142857143,17251395
719,2022-03-22,179.14285714285714,530919,9792.285714285714,1510.0,71058.85714285714,17333240
720,2022-03-23,183.57142857142858,532632,9931.0,1535.0,71580.14285714286,17410840
721,2022-03-24,185.42857142857142,534240,10073.714285714286,1561.0,71711.14285714286,17479444
722,2022-03-25,195.28571428571428,535805,10331.857142857143,1586.5714285714287,71475.71428571429,17539700
723,2022-03-26,200.28571428571428,537318,10729.857142857143,1593.4285714285713,70985.0,17591476
724,2022-03-27,206.0,538931,11070.285714285714,1619.0,69712.57142857143,17649476
725,2022-03-28,207.57142857142858,540884,11357.714285714286,1668.2857142857142,68141.42857142857,17728385
726,2022-03-29,216.42857142857142,542731,11612.714285714286,1687.4285714285713,66083.71428571429,17795826
727,2022-03-30,219.42857142857142,544632,11965.714285714286,1714.2857142857142,63962.28571428572,17858576
728,2022-03-31,218.0,546434,12283.42857142857,1742.0,60715.857142857145,17904455
729,2022-04-01,216.28571428571428,547961,12606.285714285714,1736.5714285714287,57871.0,17944797
730,2022-04-02,218.28571428571428,549505,12779.857142857143,1741.0,54990.0,17976406
731,2022-04-03,222.14285714285714,551130,12938.857142857143,1742.7142857142858,51790.857142857145,18012012
732,2022-04-04,222.57142857142858,552822,12966.57142857143,1705.4285714285713,46966.71428571428,18057152
733,2022-04-05,219.28571428571428,554640,13051.714285714286,1701.2857142857142,43102.71428571428,18097545
734,2022-04-06,220.14285714285714,556446,13198.0,1687.7142857142858,39408.57142857143,18134436
735,2022-04-07,222.42857142857142,558001,13342.42857142857,1652.4285714285713,37389.42857142857,18166181
736,2022-04-08,225.14285714285714,559510,13303.0,1649.857142857143,35539.28571428572,18193572
737,2022-04-09,225.42857142857142,560833,13405.857142857143,1618.2857142857142,34311.28571428572,18216585
738,2022-04-10,226.42857142857142,562263,13456.42857142857,1590.4285714285713,32887.71428571428,18242226
739,2022-04-11,229.28571428571428,563902,13545.142857142857,1582.857142857143,30810.14285714286,18272823
740,2022-04-12,230.71428571428572,565563,13483.857142857143,1560.4285714285713,28951.428571428572,18300205
741,2022-04-13,229.14285714285714,567151,13355.142857142857,1529.2857142857142,27325.14285714286,18325712
742,2022-04-14,232.28571428571428,568519,13081.57142857143,1502.5714285714287,25852.14285714286,18347146
743,2022-04-15,225.85714285714286,569694,12880.714285714286,1454.857142857143,24411.428571428572,18364452
744,2022-04-16,222.42857142857142,570781,12537.57142857143,1421.142857142857,23422.571428571428,18380543
745,2022-04-17,219.57142857142858,571897,12327.0,1376.2857142857142,22082.714285714286,18396805
746,2022-04-18,214.0,573129,12006.42857142857,1318.142857142857,20649.714285714286,18417371
747,2022-04-19,209.42857142857142,574238,11957.142857142857,1239.2857142857142,19680.14285714286,18437966
748,2022-04-20,212.71428571428572,575379,11899.0,1175.4285714285713,18461.0,18454939
749,2022-04-21,208.14285714285714,576390,11732.285714285714,1124.4285714285713,17473.285714285714,18469459
750,2022-04-22,204.85714285714286,577356,11599.42857142857,1094.5714285714287,16790.428571428572,18481985
751,2022-04-23,204.28571428571428,578256,11464.285714285714,1067.857142857143,16002.142857142857,18492558
752,2022-04-24,201.85714285714286,579118,11142.0,1031.5714285714287,15374.285714285714,18504425
753,2022-04-25,202.57142857142858,580052,10916.857142857143,989.0,14351.142857142857,18517829
754,2022-04-26,198.42857142857142,581020,10387.857142857143,968.8571428571429,13022.285714285714,18529122
755,2022-04-27,194.0,581902,9938.57142857143,931.8571428571429,12043.285714285714,18539242
756,2022-04-28,189.85714285714286,582676,9637.0,898.0,11262.714285714286,18548298
757,2022-04-29,192.14285714285714,583381,9195.285714285714,860.7142857142857,10615.0,18556290
758,2022-04-30,192.14285714285714,583987,8814.714285714286,818.7142857142857,10085.0,18563153
759,2022-05-01,190.85714285714286,584613,8494.0,785.0,9492.285714285714,18570871
760,2022-05-02,190.0,585278,8081.571428571428,746.5714285714286,9055.0,18581214
761,2022-05-03,190.85714285714286,586046,7841.428571428572,718.0,9035.285714285714,18592369
762,2022-05-04,189.0,586749,7560.714285714285,692.4285714285714,8987.142857142857,18602152
763,2022-05-05,192.14285714285714,587417,7349.142857142857,677.2857142857143,8920.857142857143,18610744
764,2022-05-06,190.0,588035,7202.428571428572,664.8571428571429,8853.142857142857,18618262
765,2022-05-07,184.71428571428572,588561,6993.0,653.4285714285714,8780.42857142857,18624616
766,2022-05-08,180.85714285714286,589118,6788.428571428572,643.5714285714286,8772.714285714286,18632280
767,2022-05-09,175.0,589773,6651.0,642.1428571428571,8563.142857142857,18641156
768,2022-05-10,166.71428571428572,590353,6476.428571428572,615.2857142857143,8134.428571428572,18649310
769,2022-05-11,159.71428571428572,590907,6302.142857142857,594.0,7774.714285714285,18656575
770,2022-05-12,151.0,591449,5982.285714285715,576.0,7458.142857142857,18662951
771,2022-05-13,142.0,591882,5751.142857142857,549.5714285714286,7211.857142857143,18668745
772,2022-05-14,140.42857142857142,592334,5601.714285714285,539.0,7038.285714285715,18673884
773,2022-05-15,135.28571428571428,592782,5447.285714285715,523.4285714285714,6904.857142857143,18680614
774,2022-05-16,131.14285714285714,593274,5211.142857142857,500.14285714285717,6763.0,18688497
775,2022-05-17,133.0,593707,4914.857142857143,479.14285714285717,6574.285714285715,18695330
776,2022-05-18,133.0,594249,4738.0,477.42857142857144,6449.571428571428,18701722
777,2022-05-19,135.71428571428572,594726,4626.571428571428,468.14285714285717,6365.142857142857,18707507
778,2022-05-20,139.14285714285714,595100,4475.285714285715,459.7142857142857,6258.714285714285,18712556
779,2022-05-21,137.85714285714286,595413,4294.0,439.85714285714283,6130.714285714285,18716799
780,2022-05-22,136.71428571428572,595807,4184.0,432.14285714285717,5905.142857142857,18721950
781,2022-05-23,137.28571428571428,596200,4135.857142857143,418.0,5671.571428571428,18728198
782,2022-05-24,133.57142857142858,596577,4065.1428571428573,410.0,5494.428571428572,18733791
783,2022-05-25,131.0,596978,3943.0,389.85714285714283,5322.571428571428,18738980
784,2022-05-26,125.57142857142857,597322,3823.8571428571427,370.85714285714283,5184.571428571428,18743799
785,2022-05-27,118.14285714285714,597680,3746.1428571428573,368.57142857142856,5105.285714285715,18748293
786,2022-05-28,113.14285714285714,597998,3609.0,369.2857142857143,5092.428571428572,18752446
787,2022-05-29,109.28571428571429,598363,3468.0,365.14285714285717,5026.142857142857,18757133
788,2022-05-30,102.28571428571429,598747,3344.0,363.85714285714283,4980.428571428572,18763061
789,2022-05-31,95.0,599124,3308.285714285714,363.85714285714283,5000.571428571428,18768795
790,2022-06-01,91.85714285714286,599482,3192.285714285714,357.7142857142857,5075.142857142857,18774506
791,2022-06-02,89.14285714285714,599798,3155.4285714285716,353.7142857142857,5112.571428571428,18779587
792,2022-06-03,90.71428571428571,600130,3118.0,350.0,5267.857142857143,18785168
793,2022-06-04,88.85714285714286,600504,3127.1428571428573,358.0,5571.428571428572,18791446
794,2022-06-05,88.71428571428571,600897,3114.1428571428573,362.0,6094.714285714285,18799796
795,2022-06-06,90.28571428571429,601381,3099.4285714285716,376.2857142857143,6647.571428571428,18809594
796,2022-06-07,91.42857142857143,601850,3091.285714285714,389.42857142857144,7183.285714285715,18819078
797,2022-06-08,90.71428571428571,602376,3110.285714285714,413.42857142857144,7789.142857142857,18829030
798,2022-06-09,92.57142857142857,602874,3119.714285714286,439.42857142857144,8433.142857142857,18838619
799,2022-06-10,93.85714285714286,603344,3148.4285714285716,459.14285714285717,8943.42857142857,18847772
800,2022-06-11,95.0,603799,3201.0,470.7142857142857,9256.285714285714,18856240
801,2022-06-12,95.85714285714286,604312,3238.4285714285716,487.85714285714283,9594.57142857143,18866958
802,2022-06-13,95.42857142857143,604866,3266.1428571428573,497.85714285714283,10045.42857142857,18879912
803,2022-06-14,98.0,605491,3301.0,520.1428571428571,10499.142857142857,18892572
804,2022-06-15,98.0,606203,3390.8571428571427,546.7142857142857,10847.0,18904959
805,2022-06-16,93.85714285714286,606917,3482.0,577.5714285714286,11179.285714285714,18916874
806,2022-06-17,93.71428571428571,607609,3526.285714285714,609.2857142857143,11534.57142857143,18928514
807,2022-06-18,95.42857142857143,608270,3632.714285714286,638.7142857142857,11986.857142857143,18940148
808,2022-06-19,97.42857142857143,609039,3734.4285714285716,675.2857142857143,12530.57142857143,18954672
809,2022-06-20,103.14285714285714,609832,3907.0,709.4285714285714,13096.857142857143,18971590
810,2022-06-21,106.85714285714286,610795,4062.0,757.7142857142857,13792.714285714286,18989121
811,2022-06-22,110.14285714285714,611700,4204.857142857143,785.2857142857143,14560.857142857143,19006885
812,2022-06-23,117.85714285714286,612607,4384.142857142857,812.8571428571429,15244.142857142857,19023583
813,2022-06-24,122.14285714285714,613463,4605.571428571428,836.2857142857143,15813.57142857143,19039209
814,2022-06-25,124.71428571428571,614316,4806.142857142857,863.7142857142857,16219.857142857143,19053687
815,2022-06-26,130.85714285714286,615365,5071.0,903.7142857142857,16722.0,19071726
816,2022-06-27,132.85714285714286,616543,5250.857142857143,958.7142857142857,17433.14285714286,19093622
817,2022-06-28,139.85714285714286,617699,5523.571428571428,986.2857142857143,18052.85714285714,19115491
818,2022-06-29,147.42857142857142,618989,5810.857142857143,1041.2857142857142,18618.0,19137211
819,2022-06-30,151.14285714285714,620270,6076.428571428572,1094.7142857142858,19305.85714285714,19158724
820,2022-07-01,155.0,621286,6360.0,1117.5714285714287,20083.14285714286,19179791
821,2022-07-02,158.42857142857142,622451,6567.428571428572,1162.142857142857,20812.85714285714,19199377
822,2022-07-03,156.57142857142858,623909,6898.571428571428,1220.5714285714287,21831.85714285714,19224549
823,2022-07-04,159.14285714285714,625475,7271.285714285715,1276.0,23045.0,19254937
824,2022-07-05,159.57142857142858,626966,7586.142857142857,1323.857142857143,23937.714285714286,19283055
825,2022-07-06,157.85714285714286,628473,7939.571428571428,1354.857142857143,24655.0,19309796
826,2022-07-07,160.57142857142858,630117,8269.142857142857,1406.7142857142858,25017.285714285714,19333845
827,2022-07-08,163.71428571428572,631551,8636.42857142857,1466.4285714285713,25175.285714285714,19356018
828,2022-07-09,166.71428571428572,632836,8951.0,1483.5714285714287,25142.14285714286,19375372
829,2022-07-10,172.0,634306,9262.857142857143,1485.2857142857142,24838.428571428572,19398418
830,2022-07-11,177.85714285714286,635877,9536.0,1486.0,24382.714285714286,19425616
831,2022-07-12,180.85714285714286,637418,9859.42857142857,1493.142857142857,23848.285714285714,19449993
832,2022-07-13,188.85714285714286,639022,10127.285714285714,1507.0,23119.428571428572,19471632
833,2022-07-14,194.28571428571428,640528,10338.142857142857,1487.2857142857142,22446.714285714286,19490972
834,2022-07-15,197.14285714285714,641685,10471.0,1447.7142857142858,21654.285714285714,19507598
835,2022-07-16,203.85714285714286,642845,10737.42857142857,1429.857142857143,20843.285714285714,19521275
836,2022-07-17,206.42857142857142,644181,10775.857142857143,1410.7142857142858,19794.14285714286,19536977
837,2022-07-18,211.71428571428572,645548,10910.142857142857,1381.5714285714287,18325.714285714286,19553896
838,2022-07-19,218.0,646978,10853.857142857143,1365.7142857142858,16967.0,19568762
839,2022-07-20,221.0,648394,10827.285714285714,1338.857142857143,15951.857142857143,19583295
840,2022-07-21,222.42857142857142,649690,10869.0,1308.857142857143,15016.285714285714,19596086
841,2022-07-22,225.57142857142858,650685,10814.0,1285.7142857142858,14237.857142857143,19607263
842,2022-07-23,225.28571428571428,651662,10602.57142857143,1259.5714285714287,13556.714285714286,19616172
843,2022-07-24,230.28571428571428,652758,10401.142857142857,1225.2857142857142,12773.0,19626388
844,2022-07-25,226.42857142857142,653829,10233.42857142857,1183.0,12060.142857142857,19638317
845,2022-07-26,221.42857142857142,654867,9969.857142857143,1127.0,11433.857142857143,19648799
846,2022-07-27,217.85714285714286,655850,9719.285714285714,1065.142857142857,10705.57142857143,19658234
847,2022-07-28,213.85714285714286,656737,9433.285714285714,1006.7142857142857,10069.57142857143,19666573
848,2022-07-29,209.71428571428572,657456,9107.857142857143,967.2857142857143,9556.42857142857,19674158
849,2022-07-30,204.0,658217,8961.57142857143,936.4285714285714,9228.285714285714,19680770
850,2022-07-31,197.14285714285714,659146,8874.42857142857,912.5714285714286,8864.857142857143,19688442
851,2022-08-01,192.28571428571428,660056,8689.714285714286,889.5714285714286,8419.857142857143,19697256
852,2022-08-02,191.0,660884,8651.42857142857,859.5714285714286,8088.857142857143,19705421
853,2022-08-03,188.71428571428572,661749,8506.57142857143,842.7142857142857,7800.857142857143,19712840
854,2022-08-04,187.0,662583,8349.285714285714,835.1428571428571,7541.571428571428,19719364
855,2022-08-05,185.85714285714286,663285,8224.285714285714,832.7142857142857,7295.0,19725223
856,2022-08-06,185.57142857142858,663934,8057.428571428572,816.7142857142857,7043.571428571428,19730075
857,2022-08-07,184.57142857142858,664657,7929.571428571428,787.2857142857143,6790.0,19735972
858,2022-08-08,185.85714285714286,665477,7757.285714285715,774.4285714285714,6563.142857142857,19743198
859,2022-08-09,185.42857142857142,666269,7607.0,769.2857142857143,6319.857142857143,19749660
860,2022-08-10,182.85714285714286,667076,7367.428571428572,761.0,6117.571428571428,19755663
861,2022-08-11,180.42857142857142,667804,7233.714285714285,745.8571428571429,5963.571428571428,19761109
862,2022-08-12,175.14285714285714,668384,7134.571428571428,728.4285714285714,5809.571428571428,19765890
863,2022-08-13,172.14285714285714,669012,7042.285714285715,725.4285714285714,5684.714285714285,19769868
864,2022-08-14,169.28571428571428,669649,6883.714285714285,713.1428571428571,5525.285714285715,19774649
865,2022-08-15,164.0,670332,6759.571428571428,693.5714285714286,5293.857142857143,19780255
866,2022-08-16,157.0,670975,6623.285714285715,672.2857142857143,5062.857142857143,19785100
867,2022-08-17,155.85714285714286,671603,6657.428571428572,646.7142857142857,4836.857142857143,19789521
868,2022-08-18,155.0,672136,6557.428571428572,618.8571428571429,4628.714285714285,19793510
869,2022-08-19,154.85714285714286,672633,6477.0,607.0,4444.571428571428,19797002
870,2022-08-20,152.28571428571428,673110,6366.714285714285,585.4285714285714,4313.285714285715,19800061
871,2022-08-21,149.85714285714286,673587,6217.714285714285,562.5714285714286,4137.0,19803608
872,2022-08-22,147.57142857142858,674107,6050.857142857143,539.2857142857143,3989.714285714286,19808183
873,2022-08-23,142.42857142857142,674641,5921.142857142857,523.7142857142857,3879.8571428571427,19812259
874,2022-08-24,136.28571428571428,675176,5705.285714285715,510.42857142857144,3807.285714285714,19816172
875,2022-08-25,127.71428571428571,675719,5579.428571428572,511.85714285714283,3704.0,19819438
876,2022-08-26,120.71428571428571,676152,5385.285714285715,502.7142857142857,3633.285714285714,19822435
877,2022-08-27,118.42857142857143,676565,5211.285714285715,493.57142857142856,3568.5714285714284,19825041
878,2022-08-28,113.85714285714286,677005,5030.142857142857,488.2857142857143,3473.5714285714284,19827923
879,2022-08-29,111.14285714285714,677496,4877.714285714285,484.14285714285717,3382.285714285714,19831859
880,2022-08-30,112.28571428571429,677975,4738.571428571428,476.2857142857143,3439.0,19836332
881,2022-08-31,111.57142857142857,678453,4617.0,468.14285714285717,3447.8571428571427,19840307
882,2022-09-01,114.42857142857143,678911,4564.142857142857,456.0,3518.4285714285716,19844067
883,2022-09-02,118.57142857142857,679299,4478.0,449.57142857142856,3553.0,19847306
884,2022-09-03,117.28571428571429,679654,4416.142857142857,441.2857142857143,3605.1428571428573,19850277
885,2022-09-04,116.71428571428571,680034,4415.142857142857,432.7142857142857,3730.4285714285716,19854036
886,2022-09-05,115.0,680474,4351.142857142857,425.42857142857144,3794.5714285714284,19858421
887,2022-09-06,111.71428571428571,680906,4340.571428571428,418.7142857142857,3718.4285714285716,19862361
888,2022-09-07,108.28571428571429,681345,4345.142857142857,413.14285714285717,3686.1428571428573,19866110
889,2022-09-08,105.85714285714286,681747,4207.142857142857,405.14285714285717,3613.285714285714,19869360
890,2022-09-09,100.57142857142857,682109,4221.571428571428,401.42857142857144,3593.8571428571427,19872463
891,2022-09-10,101.14285714285714,682461,4175.857142857143,401.0,3578.1428571428573,19875324
892,2022-09-11,102.0,682864,4100.0,404.2857142857143,3596.8571428571427,19879214
893,2022-09-12,101.85714285714286,683290,4093.0,402.2857142857143,3650.1428571428573,19883972
894,2022-09-13,106.0,683785,4039.714285714286,411.2857142857143,3744.5714285714284,19888573
895,2022-09-14,108.14285714285714,684261,3946.0,416.57142857142856,3845.1428571428573,19893026
896,2022-09-15,108.14285714285714,684720,3944.4285714285716,424.7142857142857,3980.8571428571427,19897226
897,2022-09-16,110.85714285714286,685119,3915.4285714285716,430.0,4070.285714285714,19900955
898,2022-09-17,110.0,685519,3852.4285714285716,436.85714285714283,4117.0,19904143
899,2022-09-18,107.0,685962,3839.4285714285716,442.57142857142856,4124.571428571428,19908086
900,2022-09-19,107.14285714285714,686593,3802.5714285714284,471.85714285714283,4259.428571428572,19913788
901,2022-09-20,105.85714285714286,687257,3828.8571428571427,496.0,4630.714285714285,19920988
902,2022-09-21,109.42857142857143,687978,3938.0,531.0,4986.0,19927928
903,2022-09-22,111.71428571428571,688699,4002.714285714286,568.4285714285714,5285.142857142857,19934222
904,2022-09-23,116.28571428571429,689263,4107.714285714285,592.0,5610.428571428572,19940228
905,2022-09-24,119.71428571428571,689904,4273.857142857143,626.4285714285714,5913.428571428572,19945537
906,2022-09-25,123.14285714285714,690738,4415.0,682.2857142857143,6312.571428571428,19952274
907,2022-09-26,127.85714285714286,691603,4670.0,715.7142857142857,6646.857142857143,19960316
908,2022-09-27,130.28571428571428,692418,4881.857142857143,737.2857142857143,6710.285714285715,19967960
909,2022-09-28,130.28571428571428,693397,5090.428571428572,774.1428571428571,6834.0,19975766
910,2022-09-29,130.71428571428572,694342,5367.571428571428,806.1428571428571,6985.142857142857,19983118
911,2022-09-30,129.0,695058,5620.857142857143,827.8571428571429,7141.285714285715,19990217
912,2022-10-01,130.71428571428572,695933,5808.285714285715,861.2857142857143,7320.571428571428,19996781
913,2022-10-02,133.71428571428572,696842,6068.285714285715,872.0,7590.0,20005404
914,2022-10-03,136.42857142857142,697949,6317.0,906.5714285714286,7995.571428571428,20016285
915,2022-10-04,137.85714285714286,699094,6585.714285714285,953.7142857142857,8367.285714285714,20026531
916,2022-10-05,142.57142857142858,700023,6864.428571428572,946.5714285714286,8615.57142857143,20036075
917,2022-10-06,149.57142857142858,700971,7178.714285714285,947.0,8825.142857142857,20044894
918,2022-10-07,155.0,701714,7440.571428571428,950.8571428571429,9001.42857142857,20053227
919,2022-10-08,158.42857142857142,702393,7770.571428571428,922.8571428571429,9003.857142857143,20059808
920,2022-10-09,161.85714285714286,703381,7980.571428571428,934.1428571428571,8916.857142857143,20067822
921,2022-10-10,163.42857142857142,704429,8136.714285714285,925.7142857142857,8767.42857142857,20077657
922,2022-10-11,170.42857142857142,705393,8207.714285714286,899.8571428571429,8558.142857142857,20086438
923,2022-10-12,170.42857142857142,706324,8166.142857142857,900.1428571428571,8355.285714285714,20094562
924,2022-10-13,171.28571428571428,707320,8153.714285714285,907.0,8175.857142857143,20102125
925,2022-10-14,171.57142857142858,708098,8155.0,912.0,8034.428571428572,20109468
926,2022-10-15,171.14285714285714,708796,8211.42857142857,914.7142857142857,7952.142857142857,20115473
927,2022-10-16,170.57142857142858,709751,8198.0,910.0,7844.0,20122730
928,2022-10-17,170.71428571428572,710684,8301.285714285714,893.5714285714286,7767.714285714285,20132031
929,2022-10-18,167.42857142857142,711544,8316.0,878.7142857142857,7608.428571428572,20139697
930,2022-10-19,171.42857142857142,712438,8474.714285714286,873.4285714285714,7453.857142857143,20146739
931,2022-10-20,169.0,713256,8440.42857142857,848.0,7241.285714285715,20152814
932,2022-10-21,168.14285714285714,713945,8455.57142857143,835.2857142857143,7015.0,20158573
933,2022-10-22,167.28571428571428,714559,8314.42857142857,823.2857142857143,6803.857142857143,20163100
934,2022-10-23,167.85714285714286,715285,8325.857142857143,790.5714285714286,6483.0,20168111
935,2022-10-24,166.85714285714286,715993,8175.571428571428,758.4285714285714,6032.428571428572,20174258
936,2022-10-25,171.42857142857142,716697,8067.714285714285,736.1428571428571,5677.428571428572,20179439
937,2022-10-26,170.71428571428572,717336,7861.857142857143,699.7142857142857,5374.857142857143,20184363
938,2022-10-27,173.0,717969,7726.714285714285,673.2857142857143,5131.571428571428,20188735
939,2022-10-28,175.85714285714286,718436,7557.571428571428,641.5714285714286,4868.285714285715,20192651
940,2022-10-29,180.28571428571428,718847,7397.571428571428,612.5714285714286,4682.571428571428,20195878
941,2022-10-30,181.71428571428572,719387,7201.857142857143,586.0,4513.428571428572,20199705
942,2022-10-31,180.0,719918,7018.571428571428,560.7142857142857,4297.142857142857,20204338
943,2022-11-01,175.14285714285714,720474,6883.285714285715,539.5714285714286,4141.428571428572,20208429
944,2022-11-02,165.85714285714286,720970,6646.142857142857,519.1428571428571,3952.1428571428573,20212028
945,2022-11-03,160.57142857142858,721439,6385.428571428572,495.7142857142857,3793.4285714285716,20215289
946,2022-11-04,151.71428571428572,721784,6113.285714285715,478.2857142857143,3628.285714285714,20218049
947,2022-11-05,141.0,722097,5892.142857142857,464.2857142857143,3506.4285714285716,20220423
948,2022-11-06,135.71428571428572,722508,5693.142857142857,445.85714285714283,3376.4285714285716,20223340
949,2022-11-07,133.14285714285714,723013,5388.285714285715,442.14285714285717,3268.714285714286,20227219
950,2022-11-08,129.57142857142858,723454,5152.714285714285,425.7142857142857,3167.1428571428573,20230599
951,2022-11-09,130.42857142857142,723901,5012.0,418.7142857142857,3108.0,20233784
952,2022-11-10,128.28571428571428,724366,4862.0,418.14285714285717,3043.0,20236590
953,2022-11-11,126.85714285714286,724720,4757.857142857143,419.42857142857144,3014.714285714286,20239152
954,2022-11-12,129.0,725025,4680.571428571428,418.2857142857143,2985.8571428571427,20241324
955,2022-11-13,125.14285714285714,725431,4541.428571428572,417.57142857142856,2947.285714285714,20243971
956,2022-11-14,121.14285714285714,725860,4463.571428571428,406.7142857142857,2892.285714285714,20247465
957,2022-11-15,117.42857142857143,726292,4359.285714285715,405.42857142857144,2860.8571428571427,20250625
958,2022-11-16,111.85714285714286,726778,4258.714285714285,411.0,2824.8571428571427,20253558
959,2022-11-17,107.57142857142857,727218,4210.714285714285,407.42857142857144,2810.1428571428573,20256261
960,2022-11-18,102.42857142857143,727608,4127.571428571428,412.57142857142856,2801.4285714285716,20258762
